model,set,method_id,method,direction,f_standard,f_deviant,semitones,trough_uv,latency_ms,recovery_frac,s7_pass,s2_pass,s4_specificity,post_slope_uv_per_100ms,ctrl_min_uv,n_deviants,consensus_rank,n_agree
wav2vec2-large,literature,19,method_19_counter,counter,1850.0,1000.0,10.6503,-7.902,160.9375,0.5803,True,True,False,-1.5384,-12.2703,15,3,4
wav2vec2-large,literature,17,method_17_counter,counter,1850.0,1000.0,10.6503,-7.4556,160.9375,0.5846,True,True,False,-1.6996,-12.1037,15,4,4
wav2vec2-large,literature,18,method_18_counter,counter,1850.0,1000.0,10.6503,-7.3774,160.9375,0.6001,True,True,False,-1.6368,-12.129,15,5,4
wav2vec2-large,literature,53,method_53_counter,counter,1200.0,1000.0,3.1564,-4.0354,140.9375,1.4603,True,True,True,4.7294,3.9203,15,12,3
wav2vec2-large,literature,55,method_55_counter,counter,2000.0,1000.0,12.0,-3.7608,220.9375,0.2921,False,False,False,0.6325,-5.3132,15,15,3
wav2vec2-large,literature,60,method_60,regular,1000.0,1500.0,7.0196,-3.4041,120.875,1.4894,True,True,True,1.313,1.0996,15,6,4
wav2vec2-large,literature,60,method_60_counter,counter,1500.0,1000.0,7.0196,-3.1185,220.9375,0.8477,True,True,True,1.7347,-1.4873,15,9,3
wav2vec2-large,literature,21,method_21,regular,1000.0,1850.0,10.6503,-2.7353,220.875,0.3642,False,False,False,-0.1472,-5.0528,15,2,5
wav2vec2-large,literature,9,method_9,regular,600.0,1000.0,8.8436,-2.7279,111.0,1.9498,True,True,True,0.8505,-0.8011,15,14,3
wav2vec2-large,literature,18,method_18,regular,1000.0,1850.0,10.6503,-2.7151,120.875,1.8196,True,True,False,-0.721,-3.0967,15,11,3
wav2vec2-large,literature,20,method_20,regular,1000.0,1850.0,10.6503,-2.6603,220.875,0.379,False,False,False,-0.0897,-5.0014,15,1,5
wav2vec2-large,literature,33,method_33_counter,counter,1200.0,1000.0,3.1564,-2.5949,220.9375,0.88,True,True,True,1.7765,-1.7842,15,33,2
wav2vec2-large,literature,17,method_17,regular,1000.0,1850.0,10.6503,-2.5464,120.875,1.9094,True,True,False,-0.7275,-2.9341,15,10,3
wav2vec2-large,literature,19,method_19,regular,1000.0,1850.0,10.6503,-2.4755,120.875,1.79,True,True,False,-0.9542,-3.2518,15,13,3
wav2vec2-large,literature,27,method_27,regular,1000.0,1064.0,1.074,-2.0816,100.875,0.5126,True,True,True,0.8456,-0.3275,15,35,2
wav2vec2-large,literature,10,method_10_counter,counter,1122.0,1000.0,1.9929,-1.9873,140.9375,1.4567,True,True,False,0.3373,-2.2845,15,44,1
wav2vec2-large,literature,21,method_21_counter,counter,1850.0,1000.0,10.6503,-1.296,180.9375,1.0602,True,True,False,0.0868,-3.8135,15,16,3
wav2vec2-large,literature,20,method_20_counter,counter,1850.0,1000.0,10.6503,-1.2706,180.9375,0.9773,True,True,False,0.194,-3.5541,15,17,3
wav2vec2-large,literature,30,method_30_counter,counter,1200.0,1000.0,3.1564,-1.2609,220.9375,1.574,True,True,True,2.0434,0.1705,15,20,3
wav2vec2-large,literature,74,method_74,regular,1000.0,1500.0,7.0196,-1.22,100.875,2.0688,True,True,True,0.1311,0.1734,15,22,3
wav2vec2-large,literature,29,method_29_counter,counter,1200.0,1000.0,3.1564,-1.1992,220.9375,1.6136,True,True,True,2.0176,0.2747,15,21,3
wav2vec2-large,literature,37,method_37,regular,1000.0,1050.0,0.8447,-1.145,200.875,1.0563,True,True,False,0.0474,-2.3728,15,41,2
wav2vec2-large,literature,31,method_31_counter,counter,1200.0,1000.0,3.1564,-1.1436,220.9375,1.6569,True,True,True,2.0159,0.3965,15,23,3
wav2vec2-large,literature,43,method_43,regular,633.0,700.0,1.7418,-1.1133,150.875,1.1412,True,True,False,-0.6546,-2.188,15,26,2
wav2vec2-large,literature,28,method_28_counter,counter,1200.0,1000.0,3.1564,-1.1031,220.9375,1.6711,True,True,True,1.9683,0.4055,15,24,3
wav2vec2-large,literature,32,method_32_counter,counter,1200.0,1000.0,3.1564,-1.0674,220.9375,1.6826,True,True,True,1.949,0.3882,15,25,3
wav2vec2-large,literature,72,method_72,regular,1000.0,1200.0,3.1564,-0.9797,120.875,1.1804,True,True,True,1.1516,1.2955,15,8,4
wav2vec2-large,literature,75,method_75,regular,1000.0,1200.0,3.1564,-0.9773,120.875,1.0066,True,True,True,1.0111,0.873,15,7,4
wav2vec2-large,literature,75,method_75_counter,counter,1200.0,1000.0,3.1564,-0.9058,200.9375,13.0593,True,True,False,-0.071,-1.0706,15,46,1
wav2vec2-large,literature,72,method_72_counter,counter,1200.0,1000.0,3.1564,-0.7593,200.9375,0.0,False,False,False,-0.0259,-0.8728,15,47,1
wav2vec2-large,literature,37,method_37_counter,counter,1050.0,1000.0,0.8447,-0.6836,160.875,2.8574,False,True,True,0.4766,0.3727,15,43,2
wav2vec2-large,literature,53,method_53,regular,1000.0,1200.0,3.1564,-0.5883,100.875,2.8553,False,True,False,-1.6567,-2.9334,15,34,2
wav2vec2-large,literature,74,method_74_counter,counter,1500.0,1000.0,7.0196,-0.547,140.9375,0.0,False,False,False,1.7182,0.5967,15,39,2
wav2vec2-large,literature,30,method_30,regular,1000.0,1200.0,3.1564,-0.5035,120.875,3.113,False,True,True,0.4864,0.214,15,31,2
wav2vec2-large,literature,29,method_29,regular,1000.0,1200.0,3.1564,-0.493,120.875,3.5035,False,True,True,0.5552,0.4239,15,30,2
wav2vec2-large,literature,32,method_32,regular,1000.0,1200.0,3.1564,-0.464,120.875,4.709,False,True,True,0.7461,0.9465,15,32,2
wav2vec2-large,literature,28,method_28,regular,1000.0,1200.0,3.1564,-0.3993,120.875,5.6072,False,True,True,0.6709,0.9246,15,29,2
wav2vec2-large,literature,12,method_12_counter,counter,1200.0,1000.0,3.1564,-0.3831,120.9375,5.9811,False,True,False,-0.4708,-1.0027,15,37,2
wav2vec2-large,literature,31,method_31,regular,1000.0,1200.0,3.1564,-0.3771,120.875,5.6641,False,True,True,0.6449,0.8838,15,28,2
wav2vec2-large,literature,55,method_55,regular,1000.0,2000.0,12.0,-0.3108,200.875,2.5762,False,True,False,-0.024,-0.9381,15,19,3
wav2vec2-large,literature,33,method_33,regular,1000.0,1200.0,3.1564,-0.297,140.875,0.9213,False,True,True,0.377,0.4736,15,36,2
wav2vec2-large,literature,43,method_43_counter,counter,700.0,633.0,1.7418,-0.229,210.875,6.8282,False,True,False,0.6658,-0.9266,15,48,0
wav2vec2-large,literature,44,method_44,regular,633.0,1000.0,7.9167,-0.0472,230.875,0.0,False,False,False,-1.6029,-2.3589,15,18,3
wav2vec2-large,literature,10,method_10,regular,1000.0,1122.0,1.9929,0.1912,120.875,8.2649,False,True,True,-0.6574,-0.1196,15,42,2
wav2vec2-large,literature,12,method_12,regular,1000.0,1200.0,3.1564,0.3556,120.875,0.0,False,False,False,1.0506,2.2399,15,40,2
wav2vec2-large,literature,44,method_44_counter,counter,1000.0,633.0,7.9167,0.88,230.875,0.0,False,False,False,1.0569,-0.1979,15,27,2
wav2vec2-large,literature,27,method_27_counter,counter,1064.0,1000.0,1.074,1.2818,200.875,0.0,False,False,False,-0.583,0.0644,15,45,1
wav2vec2-large,literature,9,method_9_counter,counter,1000.0,600.0,8.8436,3.6737,230.875,0.0,False,False,False,-4.9103,-4.7824,15,38,2
wav2vec2-large,phase2,1740,method_1740,regular,1600.0,3200.0,12.0,-8.0532,140.875,0.8351,True,True,True,4.5232,-1.2951,15,10,5
wav2vec2-large,phase2,1765,method_1765,regular,1745.0,6400.0,22.4981,-7.8343,220.9375,0.9862,True,True,True,5.8276,-3.5148,15,11,5
wav2vec2-large,phase2,1767,method_1767,regular,1745.0,7611.0,25.4983,-7.6299,220.9375,0.1853,False,False,True,2.2463,-6.1857,15,94,4
wav2vec2-large,phase2,1762,method_1762,regular,1745.0,4935.0,17.9979,-7.006,220.9375,0.6666,True,True,True,4.8588,-2.8209,15,12,5
wav2vec2-large,phase2,1515,method_1515,regular,673.0,3200.0,26.9927,-6.3466,160.8125,1.1365,True,True,True,3.914,-1.6979,15,15,5
wav2vec2-large,phase2,1848,method_1848_counter,counter,7611.0,2934.0,16.5026,-6.1886,100.8125,1.3361,True,True,True,5.0886,1.5152,15,131,3
wav2vec2-large,phase2,1737,method_1737,regular,1600.0,2468.0,7.5032,-6.1867,140.875,0.9607,True,True,True,2.4554,-2.555,15,13,5
wav2vec2-large,phase2,1601,method_1601,regular,872.0,6400.0,34.5081,-6.0568,200.9375,1.2915,True,True,True,6.2801,0.1157,15,96,4
wav2vec2-large,phase2,1808,method_1808_counter,counter,5382.0,2263.0,14.9989,-5.837,100.9375,1.5041,True,True,True,4.4696,3.5266,15,132,3
wav2vec2-large,phase2,1699,method_1699,regular,1345.0,2263.0,9.0076,-5.8085,100.875,1.1886,True,True,True,3.4692,2.5464,15,92,4
wav2vec2-large,phase2,1518,method_1518,regular,673.0,4150.0,31.4932,-5.2677,220.8125,-0.0621,False,False,False,-1.197,-8.6221,15,236,1
wav2vec2-large,phase2,1881,method_1881,regular,4150.0,6979.0,8.9989,-5.1608,100.9375,1.73,True,True,True,5.173,3.6006,15,31,5
wav2vec2-large,phase2,1776,method_1776_counter,counter,4150.0,1903.0,13.498,-5.0569,100.9375,2.3419,True,True,True,5.6366,3.8564,15,134,3
wav2vec2-large,phase2,1676,method_1676_counter,counter,1745.0,1234.0,5.9986,-4.9395,220.9375,0.5617,True,True,True,3.0345,-3.0619,15,18,5
wav2vec2-large,phase2,1710,method_1710,regular,1345.0,5869.0,25.5061,-4.874,100.875,1.2557,True,True,True,3.3037,3.1846,15,16,5
wav2vec2-large,phase2,1887,method_1887,regular,4525.0,6979.0,7.5012,-4.8726,220.875,1.5249,True,True,True,6.5852,-0.1778,15,36,5
wav2vec2-large,phase2,1835,method_1835,regular,2691.0,6400.0,14.9992,-4.6518,200.875,0.4916,False,False,False,0.7676,-6.0557,15,115,4
wav2vec2-large,phase2,1748,method_1748,regular,1600.0,6400.0,24.0,-4.6129,140.875,1.817,True,True,True,1.5008,-2.7506,15,97,4
wav2vec2-large,phase2,1745,method_1745,regular,1600.0,4935.0,19.4997,-4.6062,100.875,1.4799,True,True,True,2.7827,0.0927,15,17,5
wav2vec2-large,phase2,1812,method_1812_counter,counter,7611.0,2263.0,20.9982,-4.4698,100.8125,2.9909,True,True,True,4.8414,4.4332,15,136,3
wav2vec2-large,phase2,1798,method_1798_counter,counter,7611.0,2075.0,22.4997,-4.453,100.8125,3.0351,True,True,True,4.3804,4.0139,15,135,3
wav2vec2-large,phase2,1791,method_1791_counter,counter,4150.0,2075.0,12.0,-4.3959,100.9375,2.1828,True,True,True,4.6031,2.5381,15,133,3
wav2vec2-large,phase2,1807,method_1807,regular,2263.0,4935.0,13.4978,-4.3837,220.875,0.8889,True,True,True,1.7835,-3.9311,15,42,5
wav2vec2-large,phase2,1739,method_1739,regular,1600.0,2934.0,10.4976,-4.3781,140.875,1.3286,True,True,True,2.855,0.2118,15,28,5
wav2vec2-large,phase2,1747,method_1747,regular,1600.0,5869.0,22.5005,-4.1591,140.875,1.7269,True,True,True,2.4237,-1.4509,15,23,5
wav2vec2-large,phase2,1750,method_1750_counter,counter,7611.0,1600.0,27.0002,-4.1418,100.8125,2.0461,True,True,True,3.1092,2.6836,15,164,2
wav2vec2-large,phase2,1105,method_1105_counter,counter,1600.0,238.0,32.9885,-4.0791,140.875,1.1743,True,True,True,1.7501,-2.2756,15,95,4
wav2vec2-large,phase2,1825,method_1825,regular,2468.0,7611.0,19.4969,-4.0776,220.9375,0.6048,True,True,True,2.7811,-0.9559,15,21,5
wav2vec2-large,phase2,1487,method_1487,regular,617.0,3200.0,28.4968,-4.0197,121.0,0.9291,True,True,True,2.9388,-0.3392,15,35,5
wav2vec2-large,phase2,1744,method_1744_counter,counter,4525.0,1600.0,17.9982,-3.9894,100.875,0.8735,True,True,True,1.1913,-0.9004,15,100,4
wav2vec2-large,phase2,1679,method_1679_counter,counter,2263.0,1234.0,10.4987,-3.9618,220.875,0.838,True,True,True,0.7247,-3.9245,15,27,5
wav2vec2-large,phase2,1767,method_1767_counter,counter,7611.0,1745.0,25.4983,-3.9571,100.8125,3.2718,True,True,True,3.9519,-0.2547,15,139,3
wav2vec2-large,phase2,1144,method_1144_counter,counter,1600.0,259.0,31.5246,-3.8405,140.875,2.0052,True,True,False,1.937,-3.2341,15,37,5
wav2vec2-large,phase2,1738,method_1738,regular,1600.0,2691.0,9.0008,-3.7079,140.875,1.2837,True,True,True,1.3536,-2.0819,15,22,5
wav2vec2-large,phase2,1763,method_1763,regular,1745.0,5382.0,19.499,-3.7053,220.9375,0.4092,False,False,False,2.1289,-4.1506,15,70,5
wav2vec2-large,phase2,1701,method_1701,regular,1345.0,2691.0,12.0064,-3.5839,100.875,1.495,True,True,True,3.0818,3.0888,15,20,5
wav2vec2-large,phase2,1754,method_1754,regular,1745.0,2468.0,6.0014,-3.5669,220.9375,0.4509,False,False,True,1.38,-3.0084,15,118,4
wav2vec2-large,phase2,1073,method_1073,regular,218.0,3200.0,46.5081,-3.5659,121.125,1.5845,True,True,True,2.6012,1.6965,15,110,4
wav2vec2-large,phase2,1730,method_1730,regular,1467.0,6400.0,25.5024,-3.5472,220.9375,1.0205,True,True,True,3.7735,-0.9612,15,25,5
wav2vec2-large,phase2,1032,method_1032,regular,200.0,3200.0,48.0,-3.5099,101.125,1.6708,True,True,True,2.222,-0.3803,15,49,5
wav2vec2-large,phase2,1794,method_1794_counter,counter,5382.0,2075.0,16.5004,-3.4369,100.9375,2.817,True,True,True,3.9825,3.6816,15,168,2
wav2vec2-large,phase2,1387,method_1387_counter,counter,1345.0,476.0,17.9829,-3.36,100.875,1.7911,True,True,True,4.0344,5.3933,15,59,5
wav2vec2-large,phase2,1568,method_1568,regular,800.0,3200.0,24.0,-3.2899,140.9375,1.8103,True,True,True,2.2375,-2.1542,15,19,5
wav2vec2-large,phase2,1565,method_1565,regular,800.0,2468.0,19.5032,-3.2357,140.9375,0.8806,True,True,False,-0.139,-3.7581,15,98,4
wav2vec2-large,phase2,1755,method_1755,regular,1745.0,2691.0,7.499,-3.188,220.9375,1.2338,True,True,True,3.3585,-2.1511,15,44,5
wav2vec2-large,phase2,1790,method_1790_counter,counter,3805.0,2075.0,10.4974,-3.1131,120.875,1.7128,True,True,True,2.8094,3.6512,15,85,5
wav2vec2-large,phase2,1116,method_1116_counter,counter,4150.0,238.0,49.4889,-3.092,100.9375,2.7628,True,True,True,5.3709,6.6846,15,56,5
wav2vec2-large,phase2,1722,method_1722,regular,1467.0,3200.0,13.5024,-3.0467,160.9375,1.0165,True,True,True,1.9958,-0.2381,15,14,5
wav2vec2-large,phase2,1703,method_1703,regular,1345.0,3200.0,15.0056,-3.0403,180.875,1.8839,True,True,True,4.2909,1.9829,15,34,5
wav2vec2-large,phase2,1812,method_1812,regular,2263.0,7611.0,20.9982,-3.0394,220.875,0.8676,True,True,False,-0.6834,-5.5887,15,1,6
wav2vec2-large,phase2,1193,method_1193_counter,counter,4150.0,283.0,46.4908,-3.0239,100.9375,3.3135,True,True,True,4.7682,5.1028,15,60,5
wav2vec2-large,phase2,1746,method_1746,regular,1600.0,5382.0,21.0008,-2.9926,140.875,1.7952,True,True,True,2.6009,1.2919,15,43,5
wav2vec2-large,phase2,1066,method_1066_counter,counter,1745.0,218.0,36.0099,-2.92,100.9375,1.0052,True,True,True,1.6169,0.0956,15,8,6
wav2vec2-large,phase2,1882,method_1882_counter,counter,7611.0,4150.0,10.4997,-2.8985,100.8125,3.8509,True,True,True,3.1025,3.0708,15,165,2
wav2vec2-large,phase2,1603,method_1603,regular,872.0,7611.0,37.5082,-2.8925,200.9375,1.047,True,True,False,1.4079,-3.8044,15,4,6
wav2vec2-large,phase2,1874,method_1874,regular,3805.0,6979.0,10.5015,-2.8784,120.875,1.171,True,True,True,1.8761,1.3153,15,52,5
wav2vec2-large,phase2,1718,method_1718_counter,counter,2263.0,1467.0,7.5044,-2.8773,220.875,0.9173,True,True,False,0.0299,-4.7268,15,117,4
wav2vec2-large,phase2,1882,method_1882,regular,4150.0,7611.0,10.4997,-2.8504,100.9375,0.8488,True,True,True,1.6413,0.6461,15,5,6
wav2vec2-large,phase2,1810,method_1810,regular,2263.0,6400.0,17.998,-2.8461,220.875,1.2786,True,True,False,1.3222,-3.7642,15,62,5
wav2vec2-large,phase2,1825,method_1825_counter,counter,7611.0,2468.0,19.4969,-2.8395,100.8125,3.2866,True,True,False,3.5111,-1.0665,15,144,3
wav2vec2-large,phase2,1024,method_1024_counter,counter,1600.0,200.0,36.0,-2.7779,140.875,2.0713,True,True,True,2.0562,-0.3241,15,51,5
wav2vec2-large,phase2,1266,method_1266_counter,counter,4150.0,336.0,43.5189,-2.776,100.9375,3.6252,True,True,True,4.1334,3.4078,15,39,5
wav2vec2-large,phase2,1174,method_1174,regular,283.0,800.0,17.9904,-2.7267,101.0625,2.9809,True,True,True,2.4955,1.7657,15,138,3
wav2vec2-large,phase2,1230,method_1230_counter,counter,4150.0,308.0,45.0253,-2.723,100.9375,3.3641,True,True,True,4.3346,3.1845,15,61,5
wav2vec2-large,phase2,1155,method_1155_counter,counter,4150.0,259.0,48.025,-2.7146,100.9375,3.3962,True,True,True,5.2326,5.5973,15,112,4
wav2vec2-large,phase2,1042,method_1042_counter,counter,7611.0,200.0,63.0002,-2.6802,100.8125,2.9803,True,True,True,3.3711,1.9896,15,141,3
wav2vec2-large,phase2,1764,method_1764,regular,1745.0,5869.0,20.9987,-2.6388,100.9375,1.1154,True,True,True,0.9764,-2.0453,15,38,5
wav2vec2-large,phase2,1200,method_1200,regular,283.0,7611.0,56.9905,-2.5949,101.0625,1.907,True,True,True,1.0151,-0.056,15,57,5
wav2vec2-large,phase2,1324,method_1324_counter,counter,1600.0,400.0,24.0,-2.5402,140.875,5.135,True,True,True,2.5217,1.5441,15,102,4
wav2vec2-large,phase2,1401,method_1401_counter,counter,4525.0,476.0,38.9866,-2.5277,100.875,1.5104,True,True,True,2.9428,2.1121,15,81,5
wav2vec2-large,phase2,1504,method_1504,regular,673.0,1234.0,10.496,-2.5001,220.8125,1.5848,True,True,True,1.4495,-1.9894,15,55,5
wav2vec2-large,phase2,1183,method_1183,regular,283.0,1745.0,31.4922,-2.4917,101.0625,4.124,True,True,True,2.1159,2.3171,15,175,2
wav2vec2-large,phase2,1750,method_1750,regular,1600.0,7611.0,27.0002,-2.4587,160.875,1.3885,True,True,True,0.919,-0.882,15,2,6
wav2vec2-large,phase2,1621,method_1621_counter,counter,4525.0,951.0,27.0048,-2.4546,200.875,1.5931,True,True,True,3.3004,-0.0023,15,137,3
wav2vec2-large,phase2,1699,method_1699_counter,counter,2263.0,1345.0,9.0076,-2.4528,220.875,1.1096,True,True,False,-0.7095,-4.2854,15,48,5
wav2vec2-large,phase2,1355,method_1355,regular,436.0,1345.0,19.5025,-2.4254,100.875,2.329,True,True,True,1.1885,-0.107,15,99,4
wav2vec2-large,phase2,1123,method_1123,regular,238.0,7611.0,59.9886,-2.3933,101.125,1.1601,True,True,True,0.5444,-1.3203,15,63,5
wav2vec2-large,phase2,1783,method_1783_counter,counter,7611.0,1903.0,23.9977,-2.3876,100.8125,4.4143,True,True,True,2.6912,0.7904,15,169,2
wav2vec2-large,phase2,1602,method_1602,regular,872.0,6979.0,36.0074,-2.3025,220.9375,-1.8491,False,False,False,-0.7444,-7.8178,15,122,4
wav2vec2-large,phase2,1727,method_1727,regular,1467.0,4935.0,21.0022,-2.2762,220.9375,1.8262,True,True,True,4.6155,0.703,15,32,5
wav2vec2-large,phase2,1744,method_1744,regular,1600.0,4525.0,17.9982,-2.2679,160.875,2.3141,True,True,True,2.3564,1.2341,15,45,5
wav2vec2-large,phase2,1729,method_1729,regular,1467.0,5869.0,24.003,-2.2204,100.9375,1.2823,True,True,True,1.6873,1.9967,15,26,5
wav2vec2-large,phase2,1443,method_1443,regular,566.0,872.0,7.4823,-2.2175,121.0,1.167,True,True,True,1.3821,0.8664,15,157,3
wav2vec2-large,phase2,1066,method_1066,regular,218.0,1745.0,36.0099,-2.2137,101.125,3.0578,True,True,True,1.7311,1.4318,15,147,3
wav2vec2-large,phase2,1266,method_1266,regular,336.0,4150.0,43.5189,-2.1842,220.75,0.3638,False,False,False,-1.2796,-4.5353,15,196,2
wav2vec2-large,phase2,1355,method_1355_counter,counter,1345.0,436.0,19.5025,-2.1814,100.875,2.5112,True,True,True,3.8573,5.4058,15,69,5
wav2vec2-large,phase2,1557,method_1557,regular,800.0,1234.0,7.5032,-2.1171,220.9375,0.9591,True,True,True,1.191,-0.3761,15,53,5
wav2vec2-large,phase2,1034,method_1034_counter,counter,3805.0,200.0,50.9979,-2.0928,120.875,1.5407,True,True,True,0.6865,-0.106,15,65,5
wav2vec2-large,phase2,1193,method_1193,regular,283.0,4150.0,46.4908,-2.0869,101.0625,4.0567,True,True,False,-0.8431,-3.3774,15,186,2
wav2vec2-large,phase2,1613,method_1613,regular,951.0,2263.0,15.0086,-2.0533,100.875,1.1686,True,True,True,0.5529,-1.4503,15,58,5
wav2vec2-large,phase2,1383,method_1383_counter,counter,951.0,476.0,11.9818,-2.0316,100.875,1.4551,True,True,True,2.2312,2.348,15,84,5
wav2vec2-large,phase2,1713,method_1713_counter,counter,7611.0,1345.0,30.0058,-2.0268,100.8125,4.3442,True,True,True,3.2437,2.6965,15,126,4
wav2vec2-large,phase2,1613,method_1613_counter,counter,2263.0,951.0,15.0086,-1.9747,220.875,1.4326,True,True,False,-0.9101,-4.1583,15,151,3
wav2vec2-large,phase2,1743,method_1743,regular,1600.0,4150.0,16.5005,-1.9555,140.875,2.1238,True,True,True,1.764,-0.9917,15,107,4
wav2vec2-large,phase2,1552,method_1552_counter,counter,7611.0,734.0,40.4908,-1.9335,100.8125,4.4274,True,True,True,3.4295,3.038,15,154,3
wav2vec2-large,phase2,1400,method_1400,regular,476.0,4150.0,37.4889,-1.9213,220.9375,-0.3161,False,False,False,-4.1835,-7.2256,15,171,2
wav2vec2-large,phase2,1797,method_1797_counter,counter,6979.0,2075.0,20.9989,-1.8352,120.875,2.3355,True,True,False,-0.5455,-1.5598,15,223,1
wav2vec2-large,phase2,1418,method_1418_counter,counter,1345.0,519.0,16.4856,-1.8306,100.875,4.1885,True,True,True,2.0632,2.937,15,83,5
wav2vec2-large,phase2,1636,method_1636_counter,counter,2263.0,1037.0,13.5098,-1.8194,220.875,1.5991,True,True,False,-1.0759,-4.3971,15,79,5
wav2vec2-large,phase2,1627,method_1627,regular,951.0,7611.0,36.0068,-1.8105,200.875,0.7504,True,True,False,0.7865,-2.2109,15,3,6
wav2vec2-large,phase2,1875,method_1875_counter,counter,7611.0,3805.0,12.0023,-1.7629,100.8125,12.0994,True,True,True,4.5159,2.0749,15,149,3
wav2vec2-large,phase2,1414,method_1414_counter,counter,951.0,519.0,10.4845,-1.7531,100.875,2.0998,True,True,True,0.9713,1.4618,15,82,5
wav2vec2-large,phase2,1106,method_1106,regular,238.0,1745.0,34.4903,-1.7163,101.125,2.4304,True,True,True,1.4277,0.3347,15,179,2
wav2vec2-large,phase2,1808,method_1808,regular,2263.0,5382.0,14.9989,-1.6873,220.875,1.89,True,True,True,1.4399,-1.2452,15,73,5
wav2vec2-large,phase2,1807,method_1807_counter,counter,4935.0,2263.0,13.4978,-1.6702,100.9375,3.49,True,True,True,1.6681,2.2499,15,188,2
wav2vec2-large,phase2,1763,method_1763_counter,counter,5382.0,1745.0,19.499,-1.6328,100.9375,3.77,True,True,True,2.1319,-0.4476,15,228,1
wav2vec2-large,phase2,1776,method_1776,regular,1903.0,4150.0,13.498,-1.6149,140.875,1.6119,True,True,True,0.4902,-0.5358,15,67,5
wav2vec2-large,phase2,1551,method_1551,regular,734.0,6979.0,38.99,-1.5849,220.875,0.0,False,False,False,-4.8337,-8.1512,15,125,4
wav2vec2-large,phase2,1708,method_1708,regular,1345.0,4935.0,22.5053,-1.5793,100.875,1.4926,True,True,True,2.2166,2.3138,15,47,5
wav2vec2-large,phase2,1783,method_1783,regular,1903.0,7611.0,23.9977,-1.5656,220.875,0.0433,False,False,False,-0.1518,-2.6044,15,29,5
wav2vec2-large,phase2,1709,method_1709_counter,counter,5382.0,1345.0,24.0064,-1.5639,120.9375,3.7693,True,True,False,0.9034,-1.9936,15,174,2
wav2vec2-large,phase2,1577,method_1577,regular,800.0,6979.0,37.4994,-1.5606,160.9375,1.0752,True,True,False,-2.3416,-7.7534,15,113,4
wav2vec2-large,phase2,1796,method_1796,regular,2075.0,6400.0,19.4995,-1.5442,220.9375,-0.0937,False,False,False,-0.2325,-3.5739,15,124,4
wav2vec2-large,phase2,1136,method_1136_counter,counter,800.0,259.0,19.5246,-1.5311,100.9375,2.9906,True,True,True,2.7643,1.2795,15,75,5
wav2vec2-large,phase2,1174,method_1174_counter,counter,800.0,283.0,17.9904,-1.4882,100.9375,3.195,True,True,True,2.9534,1.5446,15,76,5
wav2vec2-large,phase2,1748,method_1748_counter,counter,6400.0,1600.0,24.0,-1.4865,160.875,1.1198,True,True,False,-0.6659,-1.9359,15,232,1
wav2vec2-large,phase2,1273,method_1273,regular,336.0,7611.0,54.0186,-1.4784,220.75,0.7092,True,True,False,-0.6581,-2.7301,15,50,5
wav2vec2-large,phase2,1614,method_1614,regular,951.0,2468.0,16.5099,-1.4611,120.875,1.5949,True,True,True,1.5317,0.9211,15,78,5
wav2vec2-large,phase2,1636,method_1636,regular,1037.0,2263.0,13.5098,-1.4205,100.875,2.3338,True,True,True,1.2987,-0.6974,15,127,4
wav2vec2-large,phase2,1301,method_1301_counter,counter,4150.0,367.0,41.9911,-1.4028,100.9375,4.0108,True,True,True,2.6839,2.9184,15,54,5
wav2vec2-large,phase2,1809,method_1809,regular,2263.0,5869.0,16.4985,-1.3696,220.875,2.7631,True,True,True,1.2466,-1.2323,15,9,6
wav2vec2-large,phase2,1798,method_1798,regular,2075.0,7611.0,22.4997,-1.3683,220.9375,0.4692,False,False,False,-1.3913,-3.315,15,33,5
wav2vec2-large,phase2,1101,method_1101,regular,238.0,1131.0,26.9828,-1.3628,101.125,2.3409,True,True,True,0.5166,0.3662,15,77,5
wav2vec2-large,phase2,1583,method_1583,regular,872.0,1345.0,7.5025,-1.3378,220.9375,-0.3767,False,False,False,0.5868,-1.4171,15,108,4
wav2vec2-large,phase2,1880,method_1880,regular,4150.0,6400.0,7.4995,-1.296,160.9375,1.9436,True,True,False,1.9369,-1.1188,15,109,4
wav2vec2-large,phase2,1626,method_1626,regular,951.0,6979.0,34.506,-1.2858,200.875,0.3746,False,False,False,-1.2094,-5.0222,15,105,4
wav2vec2-large,phase2,1432,method_1432_counter,counter,4525.0,519.0,37.4893,-1.2776,200.875,4.0426,True,True,True,3.8435,1.9309,15,90,5
wav2vec2-large,phase2,1676,method_1676,regular,1234.0,1745.0,5.9986,-1.2734,140.9375,1.4359,True,True,True,2.2915,0.6996,15,235,1
wav2vec2-large,phase2,1525,method_1525,regular,673.0,7611.0,41.9929,-1.2586,160.8125,16.1156,True,True,False,-0.8822,-4.5982,15,6,6
wav2vec2-large,phase2,1701,method_1701_counter,counter,2691.0,1345.0,12.0064,-1.2509,100.875,2.9614,True,True,False,0.1919,-2.061,15,160,3
wav2vec2-large,phase2,1743,method_1743_counter,counter,4150.0,1600.0,16.5005,-1.2506,100.9375,4.7704,True,True,True,2.0013,3.5171,15,192,2
wav2vec2-large,phase2,1765,method_1765_counter,counter,6400.0,1745.0,22.4981,-1.2444,100.875,1.3221,True,True,False,-1.4127,-4.5015,15,202,2
